分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数,クラスター,クラスター名,主成分1,主成分2
2027ビール風アルコール飲料,伊丹市,12.0,914.0,896.0,-18.0,1.72,18.92,0.03,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.152787885693614,-1.1738551832005693
2027ビール風アルコール飲料,佐世保市,12.0,893.0,957.0,64.0,6.36,69.92,0.65,0,上昇型_低価格帯_直線性高,0.5779665765122621,0.3058730779145214
2027ビール風アルコール飲料,佐賀市,12.0,906.0,976.0,70.0,6.54,71.96,0.61,0,上昇型_低価格帯_直線性高,0.5024862121280851,0.23362901292598767
2027ビール風アルコール飲料,八戸市,12.0,889.0,1032.0,143.0,10.04,110.42,0.64,0,上昇型_低価格帯_直線性高,0.964195862695672,0.2861444364073089
2027ビール風アルコール飲料,八王子市,12.0,891.0,947.0,56.0,4.52,49.73,0.18,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.5271797354677483,-0.843737627389692
2027ビール風アルコール飲料,函館市,12.0,852.0,878.0,26.0,1.84,20.19,0.14,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.842443629025822,-1.0220173723105994
2027ビール風アルコール飲料,前橋市,12.0,893.0,882.0,-11.0,-1.96,-21.54,0.07,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.446866411413946,-1.1278742367042462
2027ビール風アルコール飲料,北九州市,12.0,863.0,920.0,57.0,6.34,69.73,0.58,0,上昇型_低価格帯_直線性高,0.48162488224399685,0.08022537633829084
2027ビール風アルコール飲料,千葉市,12.0,874.0,922.0,48.0,4.98,54.73,0.38,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.06759498004732503,-0.3888002784140108
2027ビール風アルコール飲料,名古屋市,12.0,831.0,866.0,35.0,3.63,39.96,0.32,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.27142664882645046,-0.6187032992539279
2027ビール風アルコール飲料,和歌山市,12.0,878.0,952.0,74.0,7.93,87.19,0.3,1,横ばい・緩やか変動型_低価格帯_変動あり,0.09311592400092353,-0.5657935267227194
2027ビール風アルコール飲料,堺市,12.0,870.0,899.0,29.0,1.95,21.46,0.1,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.9323746969770824,-1.0851875054626046
2027ビール風アルコール飲料,大分市,12.0,877.0,929.0,52.0,5.19,57.08,0.49,0,上昇型_低価格帯_直線性高,0.16360552775996637,-0.11574974026219245
2027ビール風アルコール飲料,大津市,12.0,877.0,947.0,70.0,7.37,81.08,0.57,0,上昇型_低価格帯_直線性高,0.5551321123531272,0.08536552054060732
2027ビール風アルコール飲料,大阪市,12.0,931.0,931.0,0.0,0.57,6.27,0.01,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.3397004748567394,-1.1944759722700935
2027ビール風アルコール飲料,奈良市,12.0,873.0,904.0,31.0,4.03,44.38,0.36,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.2081382370395525,-0.4422563059911604
2027ビール風アルコール飲料,姫路市,12.0,895.0,887.0,-8.0,1.73,19.08,0.04,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.1063904766494241,-1.1849151942540455
2027ビール風アルコール飲料,宇部市,12.0,932.0,929.0,-3.0,3.37,37.04,0.19,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6889796964322666,-0.7469509726886594
2027ビール風アルコール飲料,宇都宮市,12.0,837.0,885.0,48.0,3.81,41.88,0.39,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.12485548739822358,-0.4371827544491423
2027ビール風アルコール飲料,宮崎市,12.0,898.0,981.0,83.0,7.84,86.19,0.57,0,上昇型_低価格帯_直線性高,0.5774977210702271,0.12596026688167825
2027ビール風アルコール飲料,富士市,12.0,832.0,910.0,78.0,6.42,70.62,0.46,0,上昇型_低価格帯_直線性高,0.3009434666139528,-0.2682241876159572
2027ビール風アルコール飲料,富山市,12.0,904.0,944.0,40.0,5.18,56.96,0.3,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.24142267301055065,-0.5263674307141011
2027ビール風アルコール飲料,小山市,12.0,859.0,892.0,33.0,3.64,40.0,0.46,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.038224717471123354,-0.22703533105422485
2027ビール風アルコール飲料,山口市,12.0,940.0,977.0,37.0,4.62,50.81,0.55,0,上昇型_低価格帯_直線性高,0.1313411303517597,0.14511636196919445
2027ビール風アルコール飲料,山形市,12.0,859.0,903.0,44.0,1.16,12.81,0.01,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.17705337965058,-1.3264997651118604
2027ビール風アルコール飲料,岐阜市,12.0,859.0,885.0,26.0,2.2,24.15,0.15,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.7935670847071947,-0.983571285855825
2027ビール風アルコール飲料,岡山市,12.0,888.0,936.0,48.0,5.09,56.0,0.36,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.11342179290109074,-0.4109049614801127
2027ビール風アルコール飲料,川口市,12.0,885.0,908.0,23.0,2.36,25.96,0.14,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.831059752212197,-0.9589363378434989
2027ビール風アルコール飲料,川崎市,12.0,864.0,905.0,41.0,4.45,48.92,0.44,1,横ばい・緩やか変動型_低価格帯_変動あり,0.0043623742675106035,-0.26360666534195254
2027ビール風アルコール飲料,広島市,12.0,908.0,960.0,52.0,5.75,63.27,0.62,0,上昇型_低価格帯_直線性高,0.43318067504966284,0.25903419921212023
2027ビール風アルコール飲料,府中市,12.0,877.0,877.0,0.0,1.08,11.85,0.03,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.171745109615611,-1.244767647093001
2027ビール風アルコール飲料,徳島市,12.0,957.0,1040.0,83.0,9.57,105.27,0.84,0,上昇型_低価格帯_直線性高,1.2063846608286886,0.8961840460845886
2027ビール風アルコール飲料,所沢市,12.0,849.0,893.0,44.0,3.68,40.5,0.15,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6189870449075048,-0.9973619875903312
2027ビール風アルコール飲料,新潟市,12.0,870.0,917.0,47.0,4.63,50.88,0.41,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.04222523682664651,-0.3246195500611515
2027ビール風アルコール飲料,日立市,12.0,897.0,911.0,14.0,2.52,27.73,0.16,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.7914510358849206,-0.8875856863401047
2027ビール風アルコール飲料,旭川市,12.0,894.0,924.0,30.0,3.25,35.73,0.29,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.45687801597760164,-0.5754994770506012
2027ビール風アルコール飲料,札幌市,12.0,864.0,880.0,16.0,1.57,17.27,0.06,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.042741306150911,-1.1945983440875902
2027ビール風アルコール飲料,東京都区部,12.0,873.0,929.0,56.0,5.6,61.58,0.45,1,横ばい・緩やか変動型_低価格帯_変動あり,0.1363878323237804,-0.21887118640201872
2027ビール風アルコール飲料,東大阪市,12.0,895.0,910.0,15.0,2.21,24.27,0.09,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.9576276995826717,-1.062087705066304
2027ビール風アルコール飲料,松山市,12.0,844.0,899.0,55.0,5.47,60.19,0.34,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.05054418982796706,-0.540029628305687
2027ビール風アルコール飲料,松本市,12.0,858.0,923.0,65.0,6.5,71.5,0.41,1,横ばい・緩やか変動型_低価格帯_変動あり,0.1774900582990703,-0.3408627404841831
2027ビール風アルコール飲料,松江市,12.0,874.0,914.0,40.0,3.08,33.85,0.2,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6218400258596262,-0.8315385169924412
2027ビール風アルコール飲料,松阪市,12.0,855.0,907.0,52.0,3.82,42.0,0.18,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.554028008388695,-0.9129848791306189
2027ビール風アルコール飲料,枚方市,12.0,853.0,878.0,25.0,4.9,53.88,0.31,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.18277272450057583,-0.5979002962009494
2027ビール風アルコール飲料,柏市,12.0,847.0,874.0,27.0,2.8,30.81,0.17,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6732885899167133,-0.9554373393755219
2027ビール風アルコール飲料,横浜市,12.0,848.0,913.0,65.0,6.19,68.04,0.29,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.07432099047383632,-0.6515139456101615
2027ビール風アルコール飲料,水戸市,12.0,828.0,876.0,48.0,4.91,53.96,0.35,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.07021893281014381,-0.5473621321255707
2027ビール風アルコール飲料,津市,12.0,893.0,954.0,61.0,5.97,65.62,0.48,0,上昇型_低価格帯_直線性高,0.20719765819469155,-0.10770188149717369
2027ビール風アルコール飲料,浜松市,12.0,841.0,871.0,30.0,3.26,35.88,0.15,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6537025106763342,-1.0136101368506492
2027ビール風アルコール飲料,浦安市,12.0,852.0,922.0,70.0,6.44,70.85,0.43,1,横ばい・緩やか変動型_低価格帯_変動あり,0.2178076398423791,-0.3037130051109452
2027ビール風アルコール飲料,熊本市,12.0,922.0,959.0,37.0,4.11,45.23,0.24,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.49826966452995725,-0.6418811535675373
2027ビール風アルコール飲料,熊谷市,12.0,901.0,857.0,-44.0,0.12,1.27,0.0,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.3668945265415553,-1.2760018098883337
2027ビール風アルコール飲料,甲府市,12.0,889.0,948.0,59.0,5.35,58.85,0.48,0,上昇型_低価格帯_直線性高,0.1452666123305273,-0.11715911761599371
2027ビール風アルコール飲料,盛岡市,12.0,881.0,918.0,37.0,4.64,51.0,0.41,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.05618745948233026,-0.30412363542532445
2027ビール風アルコール飲料,相模原市,12.0,859.0,896.0,37.0,4.12,45.31,0.31,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.27577948544913866,-0.589274700914452
2027ビール風アルコール飲料,神戸市,12.0,894.0,939.0,45.0,2.88,31.69,0.21,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6516297310747949,-0.7707293176229707
2027ビール風アルコール飲料,福井市,12.0,885.0,947.0,62.0,5.95,65.46,0.53,0,上昇型_低価格帯_直線性高,0.312547737691688,-0.001382670640708081
2027ビール風アルコール飲料,福山市,12.0,893.0,918.0,25.0,3.34,36.69,0.2,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.61956840032345,-0.7953472273720824
2027ビール風アルコール飲料,福岡市,12.0,849.0,949.0,100.0,7.85,86.31,0.56,0,上昇型_低価格帯_直線性高,0.6263071300575757,0.010584301281703668
2027ビール風アルコール飲料,福島市,12.0,851.0,877.0,26.0,2.48,27.31,0.27,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.5203912451910545,-0.706503190316477
2027ビール風アルコール飲料,秋田市,12.0,882.0,924.0,42.0,5.09,56.04,0.55,0,上昇型_低価格帯_直線性高,0.2617886257809658,0.03874670088711747
2027ビール風アルコール飲料,立川市,12.0,884.0,936.0,52.0,4.66,51.23,0.22,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.42511919476939136,-0.7592911923889851
2027ビール風アルコール飲料,藤沢市,12.0,869.0,892.0,23.0,2.45,27.0,0.11,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.8573329958207974,-1.0611686647714405
2027ビール風アルコール飲料,西宮市,12.0,928.0,912.0,-16.0,1.43,15.77,0.03,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.2034691030475364,-1.1487538257166656
2027ビール風アルコール飲料,豊橋市,12.0,875.0,903.0,28.0,4.57,50.31,0.41,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.05558878641861407,-0.31551310209075323
2027ビール風アルコール飲料,那覇市,12.0,923.0,932.0,9.0,3.36,36.96,0.17,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.7163854785775686,-0.8122329553198364
2027ビール風アルコール飲料,郡山市,12.0,844.0,878.0,34.0,3.08,33.88,0.17,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6387439031687061,-0.9601078144913382
2027ビール風アルコール飲料,金沢市,12.0,863.0,903.0,40.0,3.9,42.85,0.33,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.2665376189902285,-0.5340421341358967
2027ビール風アルコール飲料,長岡市,12.0,848.0,877.0,29.0,2.57,28.23,0.27,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.5065024839702483,-0.7117914719758192
2027ビール風アルコール飲料,長崎市,12.0,861.0,926.0,65.0,6.47,71.15,0.65,0,上昇型_低価格帯_直線性高,0.6337052749826807,0.24670086883594045
2027ビール風アルコール飲料,長野市,12.0,871.0,923.0,52.0,4.25,46.77,0.24,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.4132751263173556,-0.7363016843842534
2027ビール風アルコール飲料,青森市,12.0,865.0,918.0,53.0,6.14,67.5,0.54,0,上昇型_低価格帯_直線性高,0.37988204343621756,-0.013717700239251604
2027ビール風アルコール飲料,静岡市,12.0,899.0,917.0,18.0,0.05,0.5,0.0,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.3717683540708572,-1.279950040734869
2027ビール風アルコール飲料,高松市,12.0,879.0,878.0,-1.0,0.43,4.69,0.0,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.303094000051365,-1.315920606742285
2027ビール風アルコール飲料,高知市,12.0,874.0,918.0,44.0,4.42,48.58,0.25,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.3795820069329113,-0.7059146402918983
2027ビール風アルコール飲料,鳥取市,12.0,887.0,937.0,50.0,5.01,55.12,0.5,0,上昇型_低価格帯_直線性高,0.14967138197757446,-0.07347859817221612
2027ビール風アルコール飲料,鹿児島市,12.0,836.0,887.0,51.0,5.56,61.12,0.5,0,上昇型_低価格帯_直線性高,0.2792392331699257,-0.16656596750027114
2033ウイスキー,さいたま市,12.0,1695.0,1643.0,-52.0,-4.92,-54.12,0.31,2,価格低下型_高価格帯_変動あり,-2.4023193028946292,0.9365490002160208
2033ウイスキー,京都市,12.0,1793.0,1733.0,-60.0,-4.4,-48.42,0.76,2,価格低下型_高価格帯_変動あり,-1.6106490843668202,2.2119505495980714
2033ウイスキー,今治市,12.0,1854.0,1677.0,-177.0,-9.56,-105.12,0.69,2,価格低下型_高価格帯_変動あり,-2.390287310335789,2.138877670092602
2033ウイスキー,仙台市,12.0,1750.0,1692.0,-58.0,-7.08,-77.88,0.84,2,価格低下型_高価格帯_変動あり,-1.6886499503050154,2.317269684287052
2033ウイスキー,伊丹市,12.0,1740.0,1736.0,-4.0,-0.52,-5.73,0.29,2,価格低下型_高価格帯_変動あり,-2.024168940019588,0.9860633161764806
2033ウイスキー,佐世保市,12.0,1774.0,1726.0,-48.0,-4.51,-49.58,0.94,2,価格低下型_高価格帯_変動あり,-1.248927609735968,2.6128071751289315
2033ウイスキー,佐賀市,12.0,1751.0,1768.0,17.0,1.4,15.42,0.45,2,価格低下型_高価格帯_変動あり,-1.5214307173923318,1.4008232996198107
2033ウイスキー,八戸市,12.0,1738.0,1705.0,-33.0,4.58,50.35,0.02,2,価格低下型_高価格帯_変動あり,-1.9885128482244354,0.3440856668258644
2033ウイスキー,八王子市,12.0,1738.0,1758.0,20.0,2.76,30.31,0.19,2,価格低下型_高価格帯_変動あり,-1.8580049584074665,0.7504745606523375
2033ウイスキー,函館市,12.0,1775.0,1679.0,-96.0,-8.32,-91.5,0.85,2,価格低下型_高価格帯_変動あり,-1.8383442946735042,2.3839987505076823
2033ウイスキー,前橋市,12.0,1726.0,1652.0,-74.0,-6.94,-76.38,0.74,2,価格低下型_高価格帯_変動あり,-1.8337535636176692,2.030544065723883
2033ウイスキー,北九州市,12.0,1699.0,1654.0,-45.0,-2.87,-31.62,0.22,2,価格低下型_高価格帯_変動あり,-2.358768133859045,0.7323759569066335
2033ウイスキー,千葉市,12.0,1733.0,1715.0,-18.0,-0.01,-0.12,0.0,2,価格低下型_高価格帯_変動あり,-2.5193076515658115,0.2713525307012207
2033ウイスキー,名古屋市,12.0,1724.0,1638.0,-86.0,-8.71,-95.77,0.82,2,価格低下型_高価格帯_変動あり,-1.8689165488987576,2.2150948357386726
2033ウイスキー,和歌山市,12.0,1836.0,1792.0,-44.0,-4.83,-53.08,0.35,2,価格低下型_高価格帯_変動あり,-2.508177054013519,1.2961585798464412
2033ウイスキー,堺市,12.0,1787.0,1725.0,-62.0,-4.85,-53.38,0.7,2,価格低下型_高価格帯_変動あり,-1.7672575258709367,2.0538054121312004
2033ウイスキー,大分市,12.0,1850.0,1751.0,-99.0,-12.4,-136.42,0.58,2,価格低下型_高価格帯_変動あり,-2.9060411884502924,1.8554150797783078
2033ウイスキー,大津市,12.0,1709.0,1730.0,21.0,1.77,19.5,0.13,2,価格低下型_高価格帯_変動あり,-2.041852836157984,0.5477864459978602
2033ウイスキー,大阪市,12.0,1859.0,1820.0,-39.0,-2.38,-26.23,0.21,2,価格低下型_高価格帯_変動あり,-2.5437134900513287,1.0073653372695972
2033ウイスキー,奈良市,12.0,1851.0,1670.0,-181.0,-9.88,-108.73,0.51,2,価格低下型_高価格帯_変動あり,-2.768657652635023,1.6956960538014272
2033ウイスキー,姫路市,12.0,1763.0,1763.0,0.0,-1.28,-14.04,0.24,2,価格低下型_高価格帯_変動あり,-2.234838906799438,0.9051124811990228
2033ウイスキー,宇部市,12.0,1782.0,1818.0,36.0,3.92,43.15,0.69,2,価格低下型_高価格帯_変動あり,-0.8262987412053076,2.048767173808983
2033ウイスキー,宇都宮市,12.0,1751.0,1695.0,-56.0,-6.76,-74.31,0.64,2,価格低下型_高価格帯_変動あり,-2.0415466932943307,1.8351036504776397
2033ウイスキー,宮崎市,12.0,1813.0,1813.0,0.0,0.0,0.0,1.0,2,価格低下型_高価格帯_変動あり,-0.6960827842272178,2.845544058452806
2033ウイスキー,富士市,12.0,1695.0,1726.0,31.0,1.85,20.38,0.14,2,価格低下型_高価格帯_変動あり,-1.994685975029256,0.5462555926550893
2033ウイスキー,富山市,12.0,1723.0,1668.0,-55.0,-6.15,-67.69,0.54,2,価格低下型_高価格帯_変動あり,-2.1300815691835218,1.5424650543874572
2033ウイスキー,小山市,12.0,1757.0,1706.0,-51.0,-4.79,-52.69,0.94,2,価格低下型_高価格帯_変動あり,-1.2561097935188847,2.58027147115028
2033ウイスキー,山口市,12.0,1781.0,1869.0,88.0,9.3,102.27,0.63,2,価格低下型_高価格帯_変動あり,-0.3559370409581595,1.9188804871618117
2033ウイスキー,山形市,12.0,1757.0,1713.0,-44.0,-4.15,-45.69,0.96,2,価格低下型_高価格帯_変動あり,-1.147900184606994,2.6308591896227425
2033ウイスキー,岐阜市,12.0,1751.0,1669.0,-82.0,-5.63,-61.92,0.67,2,価格低下型_高価格帯_変動あり,-1.8607506623495251,1.9115380024621205
2033ウイスキー,岡山市,12.0,1885.0,1751.0,-134.0,-16.99,-186.85,0.75,2,価格低下型_高価格帯_変動あり,-3.1245593299293195,2.3179078179381705
2033ウイスキー,川口市,12.0,1751.0,1658.0,-93.0,-6.05,-66.54,0.54,2,価格低下型_高価格帯_変動あり,-2.1575175335834893,1.59487886645841
2033ウイスキー,川崎市,12.0,1747.0,1656.0,-91.0,-7.26,-79.88,0.78,2,価格低下型_高価格帯_変動あり,-1.8200096099257674,2.165583409298835
2033ウイスキー,広島市,12.0,1774.0,1719.0,-55.0,-5.7,-62.69,0.93,2,価格低下型_高価格帯_変動あり,-1.3976148100269916,2.584684412246029
2033ウイスキー,府中市,12.0,1702.0,1647.0,-55.0,-4.88,-53.73,0.29,2,価格低下型_高価格帯_変動あり,-2.4461793175364246,0.9011945415297667
2033ウイスキー,徳島市,12.0,1819.0,1888.0,69.0,1.64,18.0,0.04,2,価格低下型_高価格帯_変動あり,-2.3803224994126313,0.5337176347055402
2033ウイスキー,所沢市,12.0,1745.0,1682.0,-63.0,-9.83,-108.12,0.67,2,価格低下型_高価格帯_変動あり,-2.309146581008652,1.8867193725084717
2033ウイスキー,新潟市,12.0,1738.0,1704.0,-34.0,-3.26,-35.81,0.2,2,価格低下型_高価格帯_変動あり,-2.4931557741749653,0.7551531910151277
2033ウイスキー,日立市,12.0,1751.0,1777.0,26.0,-2.03,-22.31,0.07,2,価格低下型_高価格帯_変動あり,-2.6283278664421243,0.4680432335113351
2033ウイスキー,旭川市,12.0,1709.0,1677.0,-32.0,-2.7,-29.69,0.77,2,価格低下型_高価格帯_変動あり,-1.2915945188915097,2.085465683111568
2033ウイスキー,札幌市,12.0,1767.0,1712.0,-55.0,-4.78,-52.58,0.78,2,価格低下型_高価格帯_変動あり,-1.577757927062128,2.210853589593009
2033ウイスキー,東京都区部,12.0,1771.0,1718.0,-53.0,-4.47,-49.15,0.84,2,価格低下型_高価格帯_変動あり,-1.433633390913125,2.364822883276256
2033ウイスキー,東大阪市,12.0,1779.0,1769.0,-10.0,-0.95,-10.42,0.19,2,価格低下型_高価格帯_変動あり,-2.317432214253879,0.8146837421303075
2033ウイスキー,松山市,12.0,1781.0,1737.0,-44.0,-3.98,-43.81,0.93,2,価格低下型_高価格帯_変動あり,-1.2202012023448479,2.6032993499546953
2033ウイスキー,松本市,12.0,1718.0,1719.0,1.0,-2.4,-26.42,0.32,2,価格低下型_高価格帯_変動あり,-2.140507502323052,1.011783514862242
2033ウイスキー,松江市,12.0,1818.0,1743.0,-75.0,-7.35,-80.85,0.95,2,価格低下型_高価格帯_変動あり,-1.5985609679398276,2.709679530070141
2033ウイスキー,松阪市,12.0,1738.0,1756.0,18.0,-0.54,-5.96,0.0,2,価格低下型_高価格帯_変動あり,-2.583767437988224,0.2789307203797394
2033ウイスキー,枚方市,12.0,1792.0,1711.0,-81.0,-5.46,-60.04,0.71,2,価格低下型_高価格帯_変動あり,-1.8210986668420368,2.085376815691159
2033ウイスキー,柏市,12.0,1693.0,1637.0,-56.0,-4.32,-47.54,0.56,2,価格低下型_高価格帯_変動あり,-1.8514568827852103,1.541112924148722
2033ウイスキー,横浜市,12.0,1755.0,1738.0,-17.0,-3.03,-33.38,0.52,2,価格低下型_高価格帯_変動あり,-1.8733012881959996,1.5636332888011801
2033ウイスキー,水戸市,12.0,1692.0,1671.0,-21.0,-1.63,-17.88,0.07,2,価格低下型_高価格帯_変動あり,-2.504122323690475,0.35958565053744634
2033ウイスキー,津市,12.0,1852.0,1787.0,-65.0,-3.91,-43.04,0.28,2,価格低下型_高価格帯_変動あり,-2.565260031440602,1.159141606771246
2033ウイスキー,浜松市,12.0,1718.0,1614.0,-104.0,-9.07,-99.73,0.89,2,価格低下型_高価格帯_変動あり,-1.7646342003477318,2.372535801857809
2033ウイスキー,浦安市,12.0,1747.0,1640.0,-107.0,-11.02,-121.23,0.9,2,価格低下型_高価格帯_変動あり,-1.9969889775424632,2.4443974583925785
2033ウイスキー,熊本市,12.0,1745.0,1758.0,13.0,1.35,14.85,0.69,2,価格低下型_高価格帯_変動あり,-1.0550766823246627,1.971579096079684
2033ウイスキー,熊谷市,12.0,1749.0,1749.0,0.0,-0.77,-8.46,0.0,2,価格低下型_高価格帯_変動あり,-2.6238213560466876,0.2986462478026918
2033ウイスキー,甲府市,12.0,1730.0,1730.0,0.0,0.1,1.12,0.0,2,価格低下型_高価格帯_変動あり,-2.5032445823947738,0.266129281309618
2033ウイスキー,盛岡市,12.0,1757.0,1777.0,20.0,2.82,31.0,0.19,2,価格低下型_高価格帯_変動あり,-1.877476412373607,0.7860155275953005
2033ウイスキー,相模原市,12.0,1763.0,1658.0,-105.0,-7.9,-86.88,0.81,2,価格低下型_高価格帯_変動あり,-1.8535298349485383,2.2660273488639384
2033ウイスキー,神戸市,12.0,1772.0,1743.0,-29.0,-2.28,-25.08,0.53,2,価格低下型_高価格帯_変動あり,-1.7957069903303997,1.62195059402411
2033ウイスキー,福井市,12.0,1780.0,1735.0,-45.0,2.12,23.27,0.11,2,価格低下型_高価格帯_変動あり,-2.1395710870594766,0.6324997605638664
2033ウイスキー,福山市,12.0,1774.0,1744.0,-30.0,-4.58,-50.38,0.37,2,価格低下型_高価格帯_変動あり,-2.3575426909393666,1.230139013905132
2033ウイスキー,福岡市,12.0,1712.0,1693.0,-19.0,-0.67,-7.42,0.11,2,価格低下型_高価格帯_変動あり,-2.3498545360354903,0.4969267502930069
2033ウイスキー,福島市,12.0,1757.0,1713.0,-44.0,-4.62,-50.85,0.94,2,価格低下型_高価格帯_変動あり,-1.2376281759419157,2.580824245426066
2033ウイスキー,秋田市,12.0,1732.0,1707.0,-25.0,-3.25,-35.77,0.74,2,価格低下型_高価格帯_変動あり,-1.44080249768945,2.0537043728501727
2033ウイスキー,立川市,12.0,1766.0,1703.0,-63.0,-8.6,-94.62,0.55,2,価格低下型_高価格帯_変動あり,-2.435947797209608,1.6387452295948648
2033ウイスキー,藤沢市,12.0,1758.0,1680.0,-78.0,-5.05,-55.54,0.29,2,価格低下型_高価格帯_変動あり,-2.541275943415646,1.0048190687184906
2033ウイスキー,西宮市,12.0,1728.0,1724.0,-4.0,-0.52,-5.73,0.29,2,価格低下型_高価格帯_変動あり,-2.007751438240534,0.9637396087197997
2033ウイスキー,豊橋市,12.0,1775.0,1633.0,-142.0,-15.15,-166.69,0.75,2,価格低下型_高価格帯_変動あり,-2.774029232200009,2.1192568015506374
2033ウイスキー,那覇市,12.0,1809.0,1787.0,-22.0,-0.12,-1.35,0.0,2,価格低下型_高価格帯_変動あり,-2.6352438565594283,0.4123783337876309
2033ウイスキー,郡山市,12.0,1754.0,1684.0,-70.0,-5.7,-62.65,0.66,2,価格低下型_高価格帯_変動あり,-1.8917809928723375,1.8926379734368035
2033ウイスキー,金沢市,12.0,1730.0,1629.0,-101.0,-10.94,-120.38,0.83,2,価格低下型_高価格帯_変動あり,-2.100244758986879,2.24325893456645
2033ウイスキー,長岡市,12.0,1744.0,1700.0,-44.0,-3.83,-42.12,0.62,2,価格低下型_高価格帯_変動あり,-1.7520654570520837,1.7831020291136248
2033ウイスキー,長崎市,12.0,1752.0,1758.0,6.0,0.73,8.08,0.73,2,価格低下型_高価格帯_変動あり,-1.054793595810673,2.079598630272415
2033ウイスキー,長野市,12.0,1719.0,1685.0,-34.0,-3.8,-41.85,0.67,2,価格低下型_高価格帯_変動あり,-1.6180214801591812,1.8579585684091418
2033ウイスキー,青森市,12.0,1687.0,1676.0,-11.0,-1.43,-15.73,0.37,2,価格低下型_高価格帯_変動あり,-1.8960623008797337,1.078534717013178
2033ウイスキー,静岡市,12.0,1775.0,1763.0,-12.0,-0.02,-0.19,0.0,2,価格低下型_高価格帯_変動あり,-2.577856061767617,0.34945299066573365
2033ウイスキー,高松市,12.0,1742.0,1738.0,-4.0,-0.38,-4.15,0.57,2,価格低下型_高価格帯_変動あり,-1.4708404716018006,1.6693327626272603
2033ウイスキー,高知市,12.0,1779.0,1735.0,-44.0,-3.62,-39.77,0.9,2,価格低下型_高価格帯_変動あり,-1.2362750407008838,2.527989284007365
2033ウイスキー,鳥取市,12.0,1824.0,1758.0,-66.0,-6.67,-73.42,0.97,2,価格低下型_高価格帯_変動あり,-1.4942114940170006,2.7715591668064237
2033ウイスキー,鹿児島市,12.0,1694.0,1677.0,-17.0,-2.36,-25.96,0.57,2,価格低下型_高価格帯_変動あり,-1.6204269515585212,1.5735997382943205
2041ワイン,さいたま市,12.0,487.0,519.0,32.0,3.75,41.27,0.33,1,横ばい・緩やか変動型_低価格帯_変動あり,0.23157012712672878,-1.2340060431199384
2041ワイン,京都市,12.0,548.0,482.0,-66.0,-0.74,-8.19,0.01,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.9581257138154382,-1.9112339154660936
