分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数,クラスター,クラスター名,主成分1,主成分2
2021ビール,新潟市,12.0,1097.0,1145.0,48.0,4.28,47.12,0.37,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.4681035436184277,-0.00048085383397780874
2021ビール,日立市,12.0,1160.0,1222.0,62.0,4.13,45.38,0.4,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.5126551058284842,0.18899089716274456
2021ビール,旭川市,12.0,1123.0,1180.0,57.0,5.65,62.19,0.49,0,上昇型_低価格帯_直線性高,-0.12294417585531373,0.3433820047577718
2021ビール,札幌市,12.0,1130.0,1180.0,50.0,5.69,62.62,0.68,0,上昇型_低価格帯_直線性高,0.2388292317998975,0.8173477480718851
2021ビール,東京都区部,12.0,1145.0,1188.0,43.0,4.74,52.15,0.32,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.5803438541405072,-0.030956996611237148
2021ビール,東大阪市,12.0,1178.0,1215.0,37.0,1.86,20.5,0.07,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.4214892601722287,-0.5852650214698233
2021ビール,松山市,12.0,1090.0,1156.0,66.0,4.37,48.08,0.21,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.7577963178404178,-0.40126385855058855
2021ビール,松本市,12.0,1081.0,1165.0,84.0,7.2,79.19,0.51,0,上昇型_低価格帯_直線性高,0.14165770101880812,0.31879571531400236
2021ビール,松江市,12.0,1132.0,1195.0,63.0,5.18,57.0,0.4,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.3601964342901944,0.14031644048681666
2021ビール,松阪市,12.0,1097.0,1145.0,48.0,3.2,35.15,0.09,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.1263607359936139,-0.6830861989590706
2021ビール,枚方市,12.0,1153.0,1138.0,-15.0,1.72,18.96,0.06,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.4218221643697262,-0.6564813141644835
2021ビール,柏市,12.0,1126.0,1123.0,-3.0,2.71,29.85,0.11,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.180675155569194,-0.5822238439269146
2021ビール,横浜市,12.0,1103.0,1176.0,73.0,7.4,81.35,0.54,0,上昇型_低価格帯_直線性高,0.191249659016241,0.43313286385250804
2021ビール,水戸市,12.0,1119.0,1137.0,18.0,2.08,22.92,0.27,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.9305349439278963,-0.20924103580539938
2021ビール,津市,12.0,1115.0,1200.0,85.0,7.2,79.19,0.7,0,上昇型_低価格帯_直線性高,0.46214311377068407,0.8428597358701679
2021ビール,浜松市,12.0,1105.0,1126.0,21.0,1.94,21.31,0.06,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.3322347698009611,-0.7450607890460711
2021ビール,浦安市,12.0,1098.0,1138.0,40.0,5.17,56.92,0.54,0,上昇型_低価格帯_直線性高,-0.044345051693319586,0.41658022122592986
2021ビール,熊本市,12.0,1175.0,1208.0,33.0,1.71,18.85,0.08,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.4143763171019643,-0.5670803473896419
2021ビール,熊谷市,12.0,1066.0,1121.0,55.0,7.65,84.19,0.42,1,横ばい・緩やか変動型_低価格帯_変動あり,0.03725861185269311,0.07407422044570566
2021ビール,甲府市,12.0,1135.0,1201.0,66.0,6.07,66.73,0.53,0,上昇型_低価格帯_直線性高,-0.016437701670548786,0.4640847616465772
2021ビール,盛岡市,12.0,1116.0,1174.0,58.0,6.61,72.69,0.54,0,上昇型_低価格帯_直線性高,0.08757886805478075,0.4547481056881994
2021ビール,相模原市,12.0,1119.0,1141.0,22.0,2.66,29.23,0.12,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.1572181721547532,-0.5711552443269287
2021ビール,神戸市,12.0,1185.0,1222.0,37.0,1.41,15.5,0.04,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.5379356968469382,-0.6464661136680949
2021ビール,福井市,12.0,1098.0,1161.0,63.0,6.37,70.04,0.27,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.4354152604898548,-0.23435810242445437
2021ビール,福山市,12.0,1150.0,1187.0,37.0,2.78,30.62,0.09,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.2445318358059683,-0.5858555019812617
2021ビール,福岡市,12.0,1109.0,1183.0,74.0,8.46,93.08,0.59,0,上昇型_低価格帯_直線性高,0.39485861575018527,0.5690081425330372
2021ビール,福島市,12.0,1097.0,1137.0,40.0,5.73,63.08,0.39,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.2718344627221536,0.052740671481937465
2021ビール,秋田市,12.0,1119.0,1171.0,52.0,5.43,59.73,0.49,0,上昇型_低価格帯_直線性高,-0.14138906271484436,0.3352254139937431
2021ビール,立川市,12.0,1152.0,1164.0,12.0,1.64,18.0,0.04,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.4677830255268751,-0.7071084380949619
2021ビール,藤沢市,12.0,1116.0,1149.0,33.0,0.87,9.54,0.01,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.560189008030348,-0.8493433316301725
2021ビール,西宮市,12.0,1159.0,1255.0,96.0,5.62,61.85,0.51,0,上昇型_低価格帯_直線性高,-0.13682638861334678,0.4587622646310015
2021ビール,豊橋市,12.0,1143.0,1164.0,21.0,4.41,48.46,0.34,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.5748519305183443,0.012756038966410177
