クラスター数,SSE_inertia,シルエット係数
2,2132.3584393476476,0.3002412173569058
3,1546.1180510362678,0.3412829701762148
4,1214.823879147328,0.35521757867821735
5,990.1261045556023,0.310153446319675
6,859.0668000921778,0.30763163054658277
7,763.4111379877722,0.30853683012491456
8,669.559152477248,0.3058281968652149
