分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数
2112スパゲッティ（外食）,高松市,12.0,886.0,886.0,0.0,0.0,0.0,1.0
2112スパゲッティ（外食）,高知市,12.0,833.0,843.0,10.0,0.38,4.23,0.23
2112スパゲッティ（外食）,鳥取市,12.0,783.0,850.0,67.0,5.85,64.35,0.73
2112スパゲッティ（外食）,鹿児島市,12.0,590.0,590.0,0.0,0.0,0.0,1.0
2121_すし,さいたま市,12.0,1550.0,1700.0,150.0,18.36,201.92,0.73
2121_すし,京都市,12.0,1815.0,1890.0,75.0,13.08,143.85,0.22
2121_すし,今治市,0.0,,,,,,
2121_すし,仙台市,12.0,1300.0,1400.0,100.0,6.99,76.92,0.42
2121_すし,伊丹市,0.0,,,,,,
2121_すし,佐世保市,0.0,,,,,,
2121_すし,佐賀市,12.0,1625.0,1625.0,0.0,0.0,0.0,1.0
2121_すし,八戸市,0.0,,,,,,
2121_すし,八王子市,0.0,,,,,,
2121_すし,函館市,0.0,,,,,,
2121_すし,前橋市,12.0,1435.0,1425.0,-10.0,-0.94,-10.38,0.57
2121_すし,北九州市,0.0,,,,,,
2121_すし,千葉市,12.0,1418.0,1473.0,55.0,6.73,74.04,0.73
2121_すし,名古屋市,12.0,1500.0,1400.0,-100.0,-11.19,-123.08,0.67
2121_すし,和歌山市,12.0,1560.0,1870.0,310.0,29.62,325.77,0.93
2121_すし,堺市,0.0,,,,,,
2121_すし,大分市,12.0,1050.0,1050.0,0.0,0.0,0.0,1.0
2121_すし,大津市,12.0,1760.0,1760.0,0.0,0.0,0.0,1.0
2121_すし,大阪市,12.0,1344.0,1447.0,103.0,8.95,98.42,0.87
2121_すし,奈良市,12.0,1535.0,2145.0,610.0,71.14,782.5,0.83
2121_すし,姫路市,0.0,,,,,,
2121_すし,宇部市,0.0,,,,,,
2121_すし,宇都宮市,12.0,1540.0,1722.0,182.0,20.26,222.85,0.88
2121_すし,宮崎市,12.0,1225.0,1225.0,0.0,-2.1,-23.08,0.08
2121_すし,富士市,0.0,,,,,,
2121_すし,富山市,12.0,1760.0,2060.0,300.0,37.76,415.38,0.76
2121_すし,小山市,0.0,,,,,,
2121_すし,山口市,12.0,1600.0,1600.0,0.0,0.0,0.0,1.0
2121_すし,山形市,12.0,1760.0,1900.0,140.0,4.13,45.38,0.05
2121_すし,岐阜市,12.0,1350.0,1525.0,175.0,18.27,200.96,0.88
2121_すし,岡山市,12.0,1018.0,1018.0,0.0,0.0,0.0,1.0
2121_すし,川口市,0.0,,,,,,
2121_すし,川崎市,0.0,,,,,,
2121_すし,広島市,12.0,1320.0,1815.0,495.0,52.69,579.58,0.83
2121_すし,府中市,0.0,,,,,,
2121_すし,徳島市,12.0,1025.0,1075.0,50.0,6.29,69.23,0.76
2121_すし,所沢市,0.0,,,,,,
2121_すし,新潟市,12.0,1743.0,1595.0,-148.0,-19.6,-215.62,0.58
2121_すし,日立市,0.0,,,,,,
2121_すし,旭川市,0.0,,,,,,
2121_すし,札幌市,12.0,1550.0,1660.0,110.0,12.31,135.38,0.67
2121_すし,東京都区部,12.0,1703.0,1778.0,75.0,9.07,99.77,0.89
2121_すし,東大阪市,0.0,,,,,,
2121_すし,松山市,12.0,1355.0,1355.0,0.0,0.0,0.0,1.0
2121_すし,松本市,0.0,,,,,,
2121_すし,松江市,12.0,1510.0,1585.0,75.0,8.78,96.58,0.77
2121_すし,松阪市,0.0,,,,,,
2121_すし,枚方市,0.0,,,,,,
2121_すし,柏市,0.0,,,,,,
2121_すし,横浜市,12.0,1396.0,1500.0,104.0,7.1,78.15,0.71
2121_すし,水戸市,12.0,1350.0,1375.0,25.0,3.23,35.58,0.49
2121_すし,津市,12.0,1460.0,1460.0,0.0,0.0,0.0,1.0
2121_すし,浜松市,0.0,,,,,,
2121_すし,浦安市,0.0,,,,,,
2121_すし,熊本市,12.0,1403.0,1458.0,55.0,5.19,57.12,0.57
2121_すし,熊谷市,0.0,,,,,,
2121_すし,甲府市,12.0,1015.0,1070.0,55.0,6.45,70.96,0.24
2121_すし,盛岡市,12.0,1215.0,1290.0,75.0,2.88,31.73,0.23
2121_すし,相模原市,0.0,,,,,,
2121_すし,神戸市,12.0,1425.0,1525.0,100.0,3.85,42.31,0.11
2121_すし,福井市,12.0,2040.0,1830.0,-210.0,-25.7,-282.69,0.73
2121_すし,福山市,0.0,,,,,,
2121_すし,福岡市,12.0,1306.0,1392.0,86.0,9.97,109.69,0.41
2121_すし,福島市,12.0,1650.0,1450.0,-200.0,3.32,36.54,0.01
2121_すし,秋田市,12.0,1250.0,1300.0,50.0,1.92,21.15,0.23
2121_すし,立川市,0.0,,,,,,
2121_すし,藤沢市,0.0,,,,,,
2121_すし,西宮市,0.0,,,,,,
2121_すし,豊橋市,0.0,,,,,,
2121_すし,那覇市,12.0,2005.0,2005.0,0.0,0.0,0.0,1.0
2121_すし,郡山市,0.0,,,,,,
2121_すし,金沢市,12.0,1700.0,1800.0,100.0,8.22,90.38,0.56
2121_すし,長岡市,0.0,,,,,,
2121_すし,長崎市,12.0,1493.0,2100.0,607.0,63.55,699.0,0.69
2121_すし,長野市,12.0,1700.0,1260.0,-440.0,-30.77,-338.46,0.42
2121_すし,青森市,12.0,1643.0,1643.0,0.0,0.0,0.0,1.0
2121_すし,静岡市,12.0,1150.0,1205.0,55.0,2.12,23.27,0.23
2121_すし,高松市,12.0,1359.0,1359.0,0.0,0.0,0.0,1.0
2121_すし,高知市,12.0,1525.0,1672.0,147.0,10.28,113.08,0.42
2121_すし,鳥取市,12.0,1045.0,1045.0,0.0,0.0,0.0,1.0
2121_すし,鹿児島市,12.0,1760.0,1870.0,110.0,9.04,99.42,0.79
2123_すし,さいたま市,12.0,142.0,142.0,0.0,0.0,0.0,1.0
2123_すし,京都市,12.0,205.0,202.0,-3.0,-0.31,-3.46,0.59
2123_すし,今治市,0.0,,,,,,
2123_すし,仙台市,12.0,209.0,242.0,33.0,3.62,39.77,0.91
2123_すし,伊丹市,0.0,,,,,,
2123_すし,佐世保市,0.0,,,,,,
2123_すし,佐賀市,12.0,339.0,352.0,13.0,1.24,13.69,0.83
2123_すし,八戸市,0.0,,,,,,
2123_すし,八王子市,0.0,,,,,,
2123_すし,函館市,0.0,,,,,,
2123_すし,前橋市,12.0,115.0,115.0,0.0,0.12,1.35,0.09
2123_すし,北九州市,0.0,,,,,,
2123_すし,千葉市,12.0,120.0,120.0,0.0,0.24,2.69,0.09
2123_すし,名古屋市,12.0,275.0,286.0,11.0,1.35,14.81,0.73
2123_すし,和歌山市,12.0,110.0,110.0,0.0,0.0,0.0,1.0
2123_すし,堺市,0.0,,,,,,
2123_すし,大分市,12.0,115.0,115.0,0.0,0.12,1.35,0.09
2123_すし,大津市,12.0,115.0,115.0,0.0,0.0,0.0,1.0
2123_すし,大阪市,12.0,115.0,115.0,0.0,0.0,0.0,1.0
2123_すし,奈良市,12.0,115.0,115.0,0.0,0.0,0.0,1.0
2123_すし,姫路市,0.0,,,,,,
2123_すし,宇部市,0.0,,,,,,
2123_すし,宇都宮市,12.0,272.0,283.0,11.0,1.04,11.42,0.57
2123_すし,宮崎市,12.0,214.0,220.0,6.0,0.79,8.73,0.65
2123_すし,富士市,0.0,,,,,,
2123_すし,富山市,12.0,410.0,420.0,10.0,1.26,13.85,0.76
2123_すし,小山市,0.0,,,,,,
2123_すし,山口市,12.0,460.0,541.0,81.0,9.18,100.96,0.71
2123_すし,山形市,12.0,155.0,155.0,0.0,0.0,0.0,1.0
2123_すし,岐阜市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,岡山市,12.0,200.0,205.0,5.0,0.47,5.19,0.57
2123_すし,川口市,0.0,,,,,,
2123_すし,川崎市,0.0,,,,,,
2123_すし,広島市,12.0,278.0,425.0,147.0,16.36,179.96,0.68
2123_すし,府中市,0.0,,,,,,
2123_すし,徳島市,12.0,120.0,120.0,0.0,0.24,2.69,0.09
2123_すし,所沢市,0.0,,,,,,
2123_すし,新潟市,12.0,187.0,198.0,11.0,1.38,15.23,0.76
2123_すし,日立市,0.0,,,,,,
2123_すし,旭川市,0.0,,,,,,
2123_すし,札幌市,12.0,269.0,281.0,12.0,1.34,14.77,0.67
2123_すし,東京都区部,12.0,197.0,229.0,32.0,2.76,30.31,0.78
2123_すし,東大阪市,0.0,,,,,,
2123_すし,松山市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,松本市,0.0,,,,,,
2123_すし,松江市,12.0,299.0,310.0,11.0,1.23,13.54,0.67
2123_すし,松阪市,0.0,,,,,,
2123_すし,枚方市,0.0,,,,,,
2123_すし,柏市,0.0,,,,,,
2123_すし,横浜市,12.0,295.0,356.0,61.0,1.64,18.04,0.03
2123_すし,水戸市,12.0,131.0,131.0,0.0,0.0,0.0,1.0
2123_すし,津市,12.0,253.0,253.0,0.0,0.12,1.35,0.09
2123_すし,浜松市,0.0,,,,,,
2123_すし,浦安市,0.0,,,,,,
2123_すし,熊本市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,熊谷市,0.0,,,,,,
2123_すし,甲府市,12.0,184.0,184.0,0.0,0.0,0.0,1.0
2123_すし,盛岡市,12.0,115.0,115.0,0.0,0.12,1.35,0.09
2123_すし,相模原市,0.0,,,,,,
2123_すし,神戸市,12.0,120.0,120.0,0.0,0.12,1.35,0.09
2123_すし,福井市,12.0,269.0,275.0,6.0,0.46,5.08,0.03
2123_すし,福山市,0.0,,,,,,
2123_すし,福岡市,12.0,110.0,110.0,0.0,0.0,0.0,1.0
2123_すし,福島市,12.0,176.0,176.0,0.0,0.0,0.0,1.0
2123_すし,秋田市,12.0,248.0,248.0,0.0,0.0,0.0,1.0
2123_すし,立川市,0.0,,,,,,
2123_すし,藤沢市,0.0,,,,,,
2123_すし,西宮市,0.0,,,,,,
2123_すし,豊橋市,0.0,,,,,,
2123_すし,那覇市,12.0,115.0,115.0,0.0,0.12,1.35,0.09
2123_すし,郡山市,0.0,,,,,,
2123_すし,金沢市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,長岡市,0.0,,,,,,
2123_すし,長崎市,12.0,154.0,165.0,11.0,1.04,11.42,0.57
2123_すし,長野市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,青森市,12.0,399.0,414.0,15.0,1.59,17.5,0.86
2123_すし,静岡市,12.0,113.0,113.0,0.0,0.0,0.0,1.0
2123_すし,高松市,12.0,195.0,223.0,28.0,1.96,21.54,0.42
2123_すし,高知市,12.0,194.0,195.0,1.0,0.19,2.12,0.2
2123_すし,鳥取市,12.0,195.0,195.0,0.0,0.0,0.0,1.0
2123_すし,鹿児島市,12.0,237.0,264.0,27.0,1.89,20.77,0.42
2132天丼（外食）,さいたま市,12.0,1025.0,1050.0,25.0,3.06,33.65,0.73
2132天丼（外食）,京都市,12.0,1099.0,1283.0,184.0,20.02,220.19,0.92
2132天丼（外食）,今治市,0.0,,,,,,
2132天丼（外食）,仙台市,12.0,1150.0,1060.0,-90.0,-6.29,-69.23,0.35
2132天丼（外食）,伊丹市,0.0,,,,,,
2132天丼（外食）,佐世保市,0.0,,,,,,
2132天丼（外食）,佐賀市,12.0,886.0,1001.0,115.0,6.59,72.54,0.67
2132天丼（外食）,八戸市,0.0,,,,,,
2132天丼（外食）,八王子市,0.0,,,,,,
2132天丼（外食）,函館市,0.0,,,,,,
2132天丼（外食）,前橋市,12.0,1350.0,1367.0,17.0,1.6,17.65,0.57
2132天丼（外食）,北九州市,0.0,,,,,,
2132天丼（外食）,千葉市,12.0,858.0,873.0,15.0,1.05,11.54,0.42
2132天丼（外食）,名古屋市,12.0,1159.0,1205.0,46.0,5.44,59.85,0.75
2132天丼（外食）,和歌山市,12.0,1184.0,1210.0,26.0,2.06,22.69,0.58
2132天丼（外食）,堺市,0.0,,,,,,
2132天丼（外食）,大分市,12.0,1043.0,1060.0,17.0,1.78,19.54,0.76
2132天丼（外食）,大津市,12.0,1023.0,1060.0,37.0,1.42,15.65,0.23
2132天丼（外食）,大阪市,12.0,930.0,1023.0,93.0,3.7,40.69,0.28
2132天丼（外食）,奈良市,12.0,772.0,849.0,77.0,8.49,93.42,0.73
2132天丼（外食）,姫路市,0.0,,,,,,
2132天丼（外食）,宇部市,0.0,,,,,,
